#video_link,video_name,start_time,end_time,x,y,width,height
40TumEHQk8A.mp4,40TumEHQk8A_10.mp4,103.02,106.02,349,0,1080,1080
40TumEHQk8A.mp4,40TumEHQk8A_16.mp4,155.36,160.29,327,0,1080,1080
4c_xYLwOx-g.mp4,4c_xYLwOx-g_16.mp4,88.59,91.59,422,0,1080,1080
4c_xYLwOx-g.mp4,4c_xYLwOx-g_6.mp4,35.16,38.16,334,0,1080,1080
6UiU99_tE7I&t=1s.mp4,6UiU99_tE7I&t=1s_10.mp4,48.21,51.21,368,0,1080,1080
6UiU99_tE7I&t=1s.mp4,6UiU99_tE7I&t=1s_3.mp4,15.43,18.81,292,0,1080,1080
6UiU99_tE7I&t=1s.mp4,6UiU99_tE7I&t=1s_7.mp4,30.07,36.33,356,0,1080,1080
83R0ZaRKF90.mp4,83R0ZaRKF90_20.mp4,239.33,251.37,366,0,1080,1080
8NNazV_75B4.mp4,8NNazV_75B4_17.mp4,250.53,254.0,344,0,1080,1080
8NNazV_75B4.mp4,8NNazV_75B4_5.mp4,65.87,89.0,397,0,1080,1080
8NNazV_75B4.mp4,8NNazV_75B4_8.mp4,131.73,157.93,398,0,1080,1080
CDnwc3NAx-c.mp4,CDnwc3NAx-c_53.mp4,264.71,267.88,409,0,1080,1080
CIlgTBmiov0.mp4,CIlgTBmiov0_18.mp4,296.07,311.23,318,0,1080,1080
CIlgTBmiov0.mp4,CIlgTBmiov0_9.mp4,155.23,168.07,321,0,1080,1080
KNsnZDEk7pY.mp4,KNsnZDEk7pY_10.mp4,132.57,151.53,336,0,1080,1080
KNsnZDEk7pY.mp4,KNsnZDEk7pY_13.mp4,174.83,178.93,570,0,1080,1080
KNsnZDEk7pY.mp4,KNsnZDEk7pY_23.mp4,316.27,320.27,414,0,1080,1080
MByKyFt7hZI.mp4,MByKyFt7hZI_0.mp4,0.0,4.8,320,0,1080,1080
MByKyFt7hZI.mp4,MByKyFt7hZI_2.mp4,11.64,15.35,343,0,1080,1080
MByKyFt7hZI.mp4,MByKyFt7hZI_4.mp4,20.85,27.86,348,0,1080,1080
RoyHvfJowZI.mp4,RoyHvfJowZI_20.mp4,242.37,247.08,281,0,1080,1080
SfROjZlyg7o.mp4,SfROjZlyg7o_13.mp4,141.32,160.12,255,0,1080,1080
SfROjZlyg7o.mp4,SfROjZlyg7o_20.mp4,243.0,261.72,256,0,1080,1080
SfROjZlyg7o.mp4,SfROjZlyg7o_24.mp4,325.84,340.0,246,0,1080,1080
T4CB5RPbtCk.mp4,T4CB5RPbtCk_13.mp4,131.01,134.8,397,0,1080,1080
TQ2f4sJVXAI.mp4,TQ2f4sJVXAI_5.mp4,40.6,59.47,470,0,1080,1080
U-BHz_UIOfs.mp4,U-BHz_UIOfs_3.mp4,9.84,13.36,373,0,1080,1080
U-BHz_UIOfs.mp4,U-BHz_UIOfs_8.mp4,38.36,41.88,330,0,1080,1080
YOHpH4ZExWQ.mp4,YOHpH4ZExWQ_11.mp4,73.11,83.63,330,0,1080,1080
dKmHLAKQ5PI.mp4,dKmHLAKQ5PI_14.mp4,106.76,109.76,372,0,1080,1080
dKmHLAKQ5PI.mp4,dKmHLAKQ5PI_44.mp4,355.34,361.0,350,0,1080,1080
dKmHLAKQ5PI.mp4,dKmHLAKQ5PI_53.mp4,442.94,445.94,366,0,1080,1080
